Giełda,Data,Data NBP,typ,wolumen,wartość,kurs pln,cost (pln),BTC,BTCInv,wartość (pln),Kurs
kraken,2018-08-09 06:17:47.0208,20180809,buy,0.03830131,209.8911788,4.2715,896.5501702442,-0.03830131,0.03830131,-896.5501702442,23407.82
kraken,2018-08-11 07:04:41.7648,20180811,buy,0.37462807,1996.8051,4.2942,8574.68046042,-0.37462807,0.37462807,-8574.68046042,22888.5156961677
kraken,2018-08-14 05:55:28.9486,20180814,buy,0.28498103,1497.6038,4.3001,6439.84610038,-0.28498103,0.28498103,-6439.84610038,22597.4553477472
kraken,2018-08-14 06:33:06.771,20180814,buy,0.09523108,499.2013,4.3001,2146.61551013,-0.09523108,0.09523108,-2146.61551013,22541.1232355025
kraken,2018-09-05 13:33:31.8978,20180905,buy,0.009,54.1278,4.3183,233.74007874,-0.009,0.009,-233.74007874,25971.11986
kraken,2018-09-05 15:17:12.6136,20180905,buy,0.03135583,188.58023,4.3183,814.346007209,-0.03135583,0.03135583,-814.346007209,25971.1194763143
kraken,2018-09-05 15:20:32.2924,20180905,buy,0.2086555,1254.8959,4.3183,5419.01696497,-0.2086555,0.2086555,-5419.01696497,25971.1196923637
kraken,2019-06-18 21:52:08.2663,20190618,buy,0.72452587,5853.4445,4.2631,24953.81924795,-0.72452587,0.72452587,-24953.81924795,34441.5848780527
kraken,2019-06-19 06:17:34.8645,20190619,buy,0.011,90.0405,4.2673,384.22982565,-0.011,0.011,-384.22982565,34929.98415
kraken,2019-06-19 06:32:25.3914,20190619,buy,0.00198709,16.26533,4.2673,69.409042709,-0.00198709,0.00198709,-69.409042709,34929.9944687961
kraken,2019-06-19 06:32:47.0868,20190619,buy,0.34137,2794.28414,4.2673,11924.048710622,-0.34137,0.34137,-11924.048710622,34929.9842125026
kraken,2019-06-19 06:33:05.2081,20190619,buy,0.027,221.0085,4.2673,943.10957205,-0.027,0.027,-943.10957205,34929.98415
kraken,2019-06-19 06:33:17.4507,20190619,buy,0.002,16.371,4.2673,69.8599683,-0.002,0.002,-69.8599683,34929.98415
kraken,2019-06-19 06:33:30.6862,20190619,buy,0.83636383,6846.0561,4.2673,29214.17519553,-0.83636383,0.83636383,-29214.17519553,34929.9839945613
gdax,2019-07-18 10:56:58.544,20190718,buy,0.5686859,4992.4935161,4.2635,21285.4961058924,-0.5686859,0.5686859,-21285.4961058924,37429.2665000001
